ds,yhat,yhat_lower,yhat_upper
2022-06-25,19218.39240798233,11427.087206838549,26402.007781138305
2022-06-26,19352.025727647713,11642.286078762376,26741.35923659609
2022-06-27,18754.623164041768,11882.102374543198,26369.036235275944
2022-06-28,20342.041891138677,13137.08702875335,27446.56554028365
2022-06-29,19364.716870840904,12487.397210255454,26443.13312851796
2022-06-30,20419.99992098414,12983.299816833045,27637.606510767026
2022-07-01,20361.12740537163,13427.137101698196,27418.96596310633
2022-07-02,20491.601805118236,13479.174426401632,28279.378868897664
2022-07-03,20532.39573272153,12949.34040475851,27715.64756762985
2022-07-04,19821.1837139815,11951.578957448604,27718.12919469886
2022-07-05,21277.423065994633,13285.291153481438,28512.70057771611
2022-07-06,20155.568806830674,12673.278699391076,27529.11148093089
2022-07-07,21057.29394672833,13633.201627313445,28568.35548970203
2022-07-08,20840.33030134038,13287.704998787087,28312.068275059028
2022-07-09,20812.718778127066,13395.779861582047,28662.355834925536
2022-07-10,20699.88151440236,13369.910293351868,28074.118673533583
2022-07-11,19843.725024216554,12022.865179607092,27383.33314329226
2022-07-12,21167.599417880316,13649.267440768108,28419.693177080222
2022-07-13,19929.40216055284,12315.93934977214,27468.140768127218
2022-07-14,20733.700943040483,13472.446811971062,28244.007088287904
2022-07-15,20440.493627556985,13271.129275831543,27916.26303280539
2022-07-16,20359.396558213404,12966.390423604835,28200.164599938053
2022-07-17,20216.675402010293,12031.198337529375,27875.392028095554
2022-07-18,19354.328860773498,11861.769494030967,26427.357394147428
2022-07-19,20695.050862338532,13177.466896083104,28252.435422095354
2022-07-20,19495.359587288236,12008.147103463862,26752.270353270338
2022-07-21,20357.767141690583,12935.908763051819,28163.65214501792
2022-07-22,20139.606445679576,12858.186841832065,27990.092045076803
2022-07-23,20147.304644186373,12775.012929859298,27386.260855814744
2022-07-24,20103.514688742518,12916.936499341109,28036.01392616104
2022-07-25,19346.312453700833,12289.213178301401,26699.16096235693
2022-07-26,20794.281643694154,13931.573977321488,28960.192009495644
2022-07-27,19699.771220076764,12225.826879041415,26782.17455795437
2022-07-28,20661.19535686743,12563.424967551262,27830.95267745379
2022-07-29,20531.988634669142,12889.465506176344,27415.151730804744
2022-07-30,20615.00196908366,13383.648440912984,28117.565100232176
2022-07-31,20629.747283508277,13127.140377251875,28184.96340734007
2022-08-01,19911.694868543105,12567.29924056208,27266.37617560926
2022-08-02,21377.442759668105,13607.951979677806,28642.933530898594
2022-08-03,20278.040221228384,12374.554961607235,28026.974042748978
2022-08-04,21211.333367212424,13884.590716177572,28724.100493146994
2022-08-05,21030.944187785935,13528.475566544677,28775.609196160014
2022-08-06,21040.667681507945,13081.222382387356,28356.472303005008
2022-08-07,20961.694957612075,13256.810659956796,28619.254801633848
2022-08-08,20131.866820583044,12886.431293057522,27730.910881205524
2022-08-09,21470.778262434465,14157.388731670871,29043.68033898726
2022-08-10,20233.017833663962,13097.428078183644,27908.28854172735
2022-08-11,21020.41224661162,13662.124312859902,28055.158621474722
2022-08-12,20690.89035599995,13019.57786081025,28261.01333812261
2022-08-13,20552.754503631397,12808.985330176716,27786.16359321598
2022-08-14,20331.770704393643,12638.99570086687,27867.333087408097
2022-08-15,19370.28602135116,12078.083500274952,27118.657821269764
2022-08-16,20592.197502851093,12968.587354359715,28237.3994382023
2022-08-17,19256.06059930072,11741.956034803898,26622.650068877323
2022-08-18,19967.211245023365,12788.111893005593,27655.40705203837
2022-08-19,19586.519356154993,11887.590271383719,26684.67651730434
2022-08-20,19424.56500788023,12001.569984964473,26524.474651289645
2022-08-21,19208.651619571436,12051.624330627616,26550.098257782323
2022-08-22,18281.866838868464,10531.220991018185,25282.322658222896
2022-08-23,19568.017264186386,11908.263759733907,27156.655167030538
2022-08-24,18324.726060947287,11571.992946062668,25777.491605938278
2022-08-25,19155.568131086482,12191.211471965422,26771.159726108162
2022-08-26,18918.860382241746,11555.730311803338,26627.02140776941
2022-08-27,18921.897480492316,11179.315566967653,26117.049520489643
2022-08-28,18888.04588397834,11595.951186732653,26627.27160336964
2022-08-29,18155.904707539947,10175.454957109605,25557.878553900453
2022-08-30,19644.35686640589,11602.75887505798,26880.805826378284
2022-08-31,18605.796386993778,11326.358178732104,25874.576825308246
2022-09-01,19638.402990678987,12005.118798406755,27011.484682093975
2022-09-02,19595.077655794583,11513.46117954183,26885.59391735144
2022-09-03,19777.82552170098,12096.381346715913,26987.792304318114
2022-09-04,19904.9948617483,12304.912970941572,27087.981006100912
2022-09-05,19310.576561189362,12037.767876817228,26462.84138776113
2022-09-06,20909.383829212216,13352.311033435735,29130.036608107348
2022-09-07,19950.394277158935,12606.104004546043,27383.626659331938
2022-09-08,21029.122318784965,13488.336496293496,28560.83930349838
2022-09-09,20996.632820149247,13504.39190283887,28232.409654995976
2022-09-10,21153.98014338053,13789.60946886425,28008.988796430174
2022-09-11,21219.479681930756,13646.429835080276,29121.553534287897
2022-09-12,20528.015437537804,12511.549066079191,28208.34183557184
2022-09-13,21996.202928292343,14440.564931463858,29791.55813547112
2022-09-14,20875.69011571526,13082.501253290133,28489.181112746934
2022-09-15,21765.46530474741,14577.314206856869,29174.07286195712
2022-09-16,21520.784679595894,14010.148164096005,28913.066014361295
2022-09-17,21447.505935359826,14180.52251840709,29345.40672541201
2022-09-18,21269.237949360326,13707.827804976921,28970.02239332563
2022-09-19,20326.51333970098,13028.778819999356,28238.596905975155
2022-09-20,21541.80685593781,14136.62406541107,29000.351359362016
2022-09-21,20172.686201299588,12644.814945937385,27510.332127155005
2022-09-22,20823.968298913405,13440.300285039124,28258.02475840721
2022-09-23,20356.497756841003,12853.749710495576,28190.68333573364
2022-09-24,20081.33800394361,12758.179515952988,27561.10682682156
2022-09-25,19726.788861063324,11931.945714526888,27194.63490000761
2022-09-26,18637.44091917745,11194.769948424757,26033.372692569264
2022-09-27,19739.092799708957,12671.942346142805,27629.518305411766
2022-09-28,18291.82054823439,10228.622997806828,25965.255809350696
2022-09-29,18902.074275001854,11409.352767777638,26515.547659577715
2022-09-30,18431.42029178658,10765.793612616315,25801.449914170313
2022-10-01,18190.72006671681,10702.37252312908,25933.40358806484
2022-10-02,17907.159945707863,10380.250297236667,25073.560611440542
2022-10-03,16923.34152905267,9375.578596892838,24438.941131828808
2022-10-04,18162.257645643076,10398.649870143825,25652.9406017026
2022-10-05,16880.441428022565,8994.405491926216,23829.71633604563
2022-10-06,17680.161291610766,10113.7302156764,25807.516829572753
2022-10-07,17418.277262711483,10004.077283583822,24262.893234939827
2022-10-08,17400.54675851234,9702.92539047973,23964.9206649823
2022-10-09,17348.790525085464,9513.213807817629,24621.051041540715
2022-10-10,16600.123378854958,9130.443091585146,24001.02589192726
2022-10-11,18072.073787422996,10742.31486484206,25808.115644325844
2022-10-12,17015.872947486037,8675.822648606187,24315.786858440195
2022-10-13,18028.783871042153,10703.819456999978,25390.191208012588
2022-10-14,17963.082059917302,10993.280531262093,25122.10455387968
2022-10-15,18120.472609122888,10852.648883284943,25550.221903029433
2022-10-16,18219.351279671464,10757.965916121766,25244.629762728997
2022-10-17,17594.113271367398,9876.286566716402,25352.65860678568
2022-10-18,19160.32889932934,11737.329145013533,27177.394322415672
2022-10-19,18168.068513933613,11174.727304072052,25145.672408904447
2022-10-20,19214.245017437563,11624.53246388046,26625.541182321023
2022-10-21,19151.585802708018,11928.106039486403,26627.396243162693
2022-10-22,19283.01952143644,12130.64413461204,26680.123360166195
2022-10-23,19328.886384738118,12084.602377521896,26833.38893997977
2022-10-24,18626.177445371675,11105.403523165225,25948.250048374437
2022-10-25,20093.624285330035,12456.061046280678,27618.883533037304
2022-10-26,18984.924101658384,11453.94036884497,26353.286414077913
2022-10-27,19900.971549789705,12272.59038029526,27703.910938481098
2022-10-28,19698.712439212562,11500.851770932337,27280.908409975695
2022-10-29,19685.40812585864,12691.330706755523,27331.7277492322
2022-10-30,19585.722808634346,11944.410542392689,27252.658454050834
2022-10-31,18740.84265096311,11487.847478953649,26516.967689716315
2022-11-01,20073.45149094569,12723.649085905216,27792.773920490818
2022-11-02,18840.85124748307,10929.841121073257,26300.77603916555
2022-11-03,19647.10118434127,12308.164193755605,27409.31983571303
2022-11-04,19351.793541686082,11672.917194354372,26740.37303178457
2022-11-05,19264.25634177171,12171.621142052132,26913.559873834995
2022-11-06,19110.597035870294,11771.763428436363,27092.93067326475
2022-11-07,18232.79683452654,10712.46553098086,26221.938565652377
2022-11-08,19553.680848833923,11817.91715030434,27527.757824033222
2022-11-09,18330.051953446477,10747.587095709623,25990.12864815434
2022-11-10,19164.86178971356,11041.546941032866,26445.12880448311
2022-11-11,18916.035156903188,11094.291409179385,26378.9596334896
2022-11-12,18890.736862577436,11140.719744219174,26527.61545389938
2022-11-13,18812.5767662622,11642.872721547988,26485.802532777216
2022-11-14,18020.539259654997,10928.147974112391,25765.61356071933
2022-11-15,19434.301736317735,12151.965750438292,27051.422346705443
2022-11-16,18307.384809185878,10630.429862581728,25669.781866530953
2022-11-17,19239.425740351362,11118.424649253744,27138.263474025243
2022-11-18,19085.104054738615,11006.927981362704,26442.8912236223
2022-11-19,19148.50543740518,11796.481535037676,27203.125960351375
2022-11-20,19150.332629391643,11418.656171730277,26646.04669028291
2022-11-21,18427.168116160585,11113.745013024472,25654.267155798894
2022-11-22,19896.608741749948,12307.505676840194,27298.421641540735
